trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
728,False,"{'a': 0.5, 'e': 0.7465066503774102}",25,14,22.627609952822404,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.5, 'e': 0.7458408992815587}",30,16,22.053431321061854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.5, 'e': 0.74517440234487}",20,16,8.665961027871944,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.5, 'e': 0.7445071602338411}",25,6,26.18920183126536,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.5, 'e': 0.743839173615714}",25,9,25.468720811670792,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.5, 'e': 0.7431704431584754}",20,8,23.921380217762753,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.5, 'e': 0.7425009695308554}",30,10,32.63969754068863,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.5, 'e': 0.7418307534023278}",30,19,22.22879225668951,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.5, 'e': 0.7411597954431086}",30,18,24.68493195786406,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.5, 'e': 0.7404880963241558}",25,10,25.954787668075927,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.5, 'e': 0.7398156567171683}",20,7,25.369194238831845,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.5, 'e': 0.7391424772945858}",25,11,23.310549461746003,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.5, 'e': 0.7384685587295875}",20,12,13.037586658798741,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
